id,lat,lon,name,city,state
337714633,33.4246546,-111.9345025,Parking 337714633,Phoenix,Arizona
367811485,33.568346,-111.9981106,Parking 367811485,Phoenix,Arizona
1145845070,33.3333518,-112.0973922,Parking 1145845070,Phoenix,Arizona
1300941446,33.4479177,-112.074981,Parking 1300941446,Phoenix,Arizona
1924424411,33.5070843,-111.952011,Parking 1924424411,Phoenix,Arizona
1924424479,33.5063336,-111.950773,Parking 1924424479,Phoenix,Arizona
1925612531,33.5078572,-111.9503146,Parking 1925612531,Phoenix,Arizona
2127040800,33.4473003,-112.0731345,Parking 2127040800,Phoenix,Arizona
2496909502,33.6340638,-111.927254,Parking 2496909502,Phoenix,Arizona
2496909503,33.6340911,-111.92588,Parking 2496909503,Phoenix,Arizona
3081147237,33.4355331,-112.0093102,Private Rooftop Parking,Phoenix,Arizona
3204563206,33.5324286,-111.9649563,Parking 3204563206,Phoenix,Arizona
3204563226,33.5330492,-111.9649961,Parking 3204563226,Phoenix,Arizona
3324462906,33.4544581,-111.9883149,Parking 3324462906,Phoenix,Arizona
4265677912,33.4520325,-112.0754438,Parking 4265677912,Phoenix,Arizona
4876270068,33.5102468,-111.9972742,Parking 4876270068,Phoenix,Arizona
4876270083,33.5116054,-111.9974452,Parking 4876270083,Phoenix,Arizona
5461970085,33.5327033,-112.2658072,T-1,Phoenix,Arizona
5461970086,33.5323001,-112.2658068,T-2,Phoenix,Arizona
5461970087,33.5353274,-112.2654842,T-16,Phoenix,Arizona
5461970088,33.5362547,-112.2655733,T-15,Phoenix,Arizona
5461970089,33.5344847,-112.2654742,T-17,Phoenix,Arizona
5461970090,33.534113,-112.2654565,T-18,Phoenix,Arizona
5461970091,33.5337944,-112.2654565,T-19,Phoenix,Arizona
5461970092,33.53334,-112.2653787,T-20,Phoenix,Arizona
5461970093,33.5322927,-112.2663696,T-3,Phoenix,Arizona
5461970094,33.5322809,-112.2669501,T-4,Phoenix,Arizona
5461970095,33.5322662,-112.2675447,T-5,Phoenix,Arizona
5461970096,33.5326881,-112.2677924,T-6,Phoenix,Arizona
5461970097,33.5342752,-112.2677889,T-7,Phoenix,Arizona
5461970098,33.5353609,-112.2679163,T-8,Phoenix,Arizona
5461970099,33.5364996,-112.2679163,T-9,Phoenix,Arizona
5461970100,33.5365143,-112.2674385,T-10,Phoenix,Arizona
5461970101,33.5365202,-112.2669996,T-11,Phoenix,Arizona
5461970102,33.5365232,-112.2664086,T-12,Phoenix,Arizona
