ev_level1_evse_num,open_date,latitude,ev_connector_types,rd_blends_fr,nps_unit_name,owner_type_code,e85_other_ethanol_blends,ev_other_evse,ev_renewable_source,cng_vehicle_class,funding_sources,hy_is_retail,ev_network_ids,ev_network,status_code,lpg_primary,hy_standards,cng_renewable_source,hy_status_link,ev_pricing,groups_with_access_code,access_detail_code,station_name,e85_blender_pump,plus4,cng_psi,ng_fill_type_code,state,ev_dc_fast_num,lng_renewable_source,maximum_vehicle_class,ev_pricing_fr,restricted_access,zip,rd_blends,federal_agency,id,facility_type,city,geocode_status,cng_fill_type_code,country,ng_psi,cng_total_compression,ev_level2_evse_num,access_days_time_fr,lng_vehicle_class,lpg_nozzle_types,groups_with_access_code_fr,expected_date,fuel_type_code,access_days_time,station_phone,rd_blended_with_biodiesel,hy_pressures,lng_has_rng,cng_total_storage,intersection_directions_fr,ng_vehicle_class,access_code,ev_workplace_charging,date_last_confirmed,street_address,cng_has_rng,rd_max_biodiesel_level,bd_blends_fr,cards_accepted,ev_network_web,longitude,cng_dispenser_num,intersection_directions,updated_at,bd_blends
,2011-03-15,33.50948,"['CHADEMO', 'J1772', 'J1772COMBO']",,,P,,,,,,,,Non-Networked,E,,,,,Free,Public - Call ahead,CALL,ABC Nissan,,,,,AZ,1,,LD,,False,85014,,,39859,CAR_DEALER,Phoenix,200-8,,US,,,1,,,,Public - Appeler à l'avance,,ELEC,Dealership business hours,602-264-2332,,,,,,,public,False,2024-02-12,1300 E Camelback Rd,,,,,,-112.05471,,,2025-02-12T00:16:32Z,
,2011-03-15,33.6398,"['CHADEMO', 'J1772', 'J1772COMBO']",,,P,,,,,,,,Non-Networked,E,,,,,Free,Public - Call ahead,CALL,Midway Nissan,,,,,AZ,2,,LD,,False,85023,,,39861,CAR_DEALER,Phoenix,200-8,,US,,,2,,,,Public - Appeler à l'avance,,ELEC,Dealership business hours,602-635-6512,,,,,,,public,False,2024-02-12,2209 W Bell Rd,,,,,,-112.10787,,,2025-02-12T00:16:32Z,
,2011-03-15,33.6398,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,Free,Private,,Midway Nissan,,,,,AZ,,,LD,,,85023,,,48341,CAR_DEALER,Phoenix,200-8,,US,,,2,,,,Privé,,ELEC,,602-635-6512,,,,,,,private,False,2024-02-12,2209 W Bell Rd,,,,,,-112.10787,,,2025-02-12T00:16:32Z,
,2011-03-15,33.50948,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,Free,Private,,ABC Nissan,,,,,AZ,,,LD,,,85014,,,48346,CAR_DEALER,Phoenix,200-8,,US,,,1,,,,Privé,,ELEC,,602-264-2332,,,,,,,private,False,2024-02-12,1300 E Camelback Rd,,,,,,-112.05471,,,2025-02-12T00:16:32Z,
,2014-12-17,33.635457,['J1772'],,,,,,,,,,"{'station': ['USCPIL104135'], 'posts': ['23755941']}",ChargePoint Network,E,,,,,,Public,,VASEO VASEO STATION1,,,,,AZ,,,,,,85022,,,64817,,Phoenix,GPS,,US,,,1,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,16220 N 7th St,,,,,https://www.chargepoint.com,-112.066788,,Charging stations are located just north of the convenience store next to the Vaseo leasing office,2025-03-19T01:05:27Z,
,2015-03-09,33.300789,['J1772'],,,,,,,,,,"{'station': ['USCPIL113249'], 'posts': ['16196741', '16196751']}",ChargePoint Network,E,,,,,,Public,,LIV COMMUNITIES LIV AHWATUKEE 2,,,,,AZ,,,,,,85048,,,66290,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,16025 S 50th St,,,,,https://www.chargepoint.com,-111.97384,,Station is in gated parking area.,2025-03-19T01:07:30Z,
,2015-04-22,33.447942,['J1772'],,,,,,,,,,"{'station': ['USCPIL118531'], 'posts': ['150713', '150715']}",ChargePoint Network,T,,,,,,TEMPORARILY UNAVAILABLE (Public),,COLLIER1 COLLIER 1,,,,,AZ,,,,,,85004,,,66794,,Phoenix,GPS,,US,,,2,,,,TEMPORAIREMENT SUSPENDU (Public),2024-06-21,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,201 E Washington St,,,,,https://www.chargepoint.com,-112.070409,,Level P1 -   First 3 hr(s) $1.50hr  Thereafter $3.00hr,2025-03-19T01:10:38Z,
,2016-06-07,33.447778,['J1772'],,,,,,,,,,"{'station': ['USCPIL151903'], 'posts': ['23864371', '23864381']}",ChargePoint Network,E,,,,,,Public,,CITY SCAPE WEST GARAGE 2,,,,,AZ,,,,,,85003,,,76160,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,50 W Washington St,,,,,https://www.chargepoint.com,-112.074798,,Parking garage level P1,2025-03-19T01:17:35Z,
,2016-06-07,33.44793,['J1772'],,,,,,,,,,"{'station': ['USCPIL151841'], 'posts': ['23332721', '23332731']}",ChargePoint Network,E,,,,,,Public,,CITY SCAPE EAST GARAGE 2,,,,,AZ,,,,,,85004,,,76161,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,1 E Washington St,,,,,https://www.chargepoint.com,-112.073555,,Parking garage level P1,2025-03-19T01:17:34Z,
,2016-07-01,33.490872,['J1772'],,,,,,,,,,"{'station': ['USCPIL150863'], 'posts': ['26472821', '26472831']}",ChargePoint Network,E,,,,,,Public,,CLARENDONHOTEL CLARENDON 1,,,,,AZ,,,,,,85013,,,76836,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,401 W Clarendon Ave,,,,,https://www.chargepoint.com,-112.079322,,Located at Guest Parking,2025-03-19T01:17:24Z,
,2016-11-23,33.448447,['J1772'],,,,,,,,,,"{'station': ['USCPIL1865861'], 'posts': ['12985531', '12985541']}",ChargePoint Network,E,,,,,,Public,,1110-ADOA 1110 SOUTH UNIT,,,,,AZ,,,,,,85007,,,79956,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,1010 W Washington St,,,,,https://www.chargepoint.com,-112.086721,,Use Visitor Entrance on W. Washington St.,2025-03-19T01:44:44Z,
,2016-12-01,33.449412,['J1772'],,,,,,,,,,"{'station': ['USCPIL1873261'], 'posts': ['12984141', '12984151']}",ChargePoint Network,E,,,,,,Public,,1110-ADOA ADOA CNTR UNIT,,,,,AZ,,,,,,85007,,,80014,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,100 N 15th Avenue,,,,,https://www.chargepoint.com,-112.092701,,,2025-03-19T01:45:02Z,
,2017-06-22,33.449983,['J1772'],,,,,,,,,,"{'station': ['USCPIL191611'], 'posts': ['258805', '258807']}",ChargePoint Network,E,,,,,,Public,,151 PARKING GAR 1ST FL A,,,,,AZ,,,,,,85007,,,85633,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,150 N 18th Ave,,,,,https://www.chargepoint.com,-112.097884,,1st Floor,2025-03-19T01:24:21Z,
,2017-07-14,33.508316,['J1772'],,,,,,,,,,"{'station': ['USCPIL191749'], 'posts': ['259087', '259089']}",ChargePoint Network,E,,,,,,Public,,ESPLANADE 5,,,,,AZ,,,,,,85016,,,85901,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,2501 E Camelback Rd,,,,,https://www.chargepoint.com,-112.027213,,,2025-03-19T01:24:23Z,
,2017-07-14,33.508105,['J1772'],,,,,,,,,,"{'station': ['USCPIL191741'], 'posts': ['259073', '259075']}",ChargePoint Network,E,,,,,,Public,,ESPLANADE 3,,,,,AZ,,,,,,85016,,,85902,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,2508 E Esplanade Ln,,,,,https://www.chargepoint.com,-112.027568,,,2025-03-19T01:24:23Z,
,2017-07-14,33.508087,['J1772'],,,,,,,,,,"{'station': ['USCPIL191709'], 'posts': ['259013', '259015']}",ChargePoint Network,E,,,,,,Public,,ESPLANADE 2,,,,,AZ,,,,,,85016,,,85903,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,2470-2508 E Esplanade Ln,,,,,https://www.chargepoint.com,-112.027579,,,2025-03-19T01:24:23Z,
,2013-04-15,33.604665,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000050253'], 'posts': ['4d156cf8-e00c-46f4-b99b-6925ba971340', 'a3b5eecd-aa92-45b9-b16f-d3e1a1df8753']}",Blink Network,E,,,,,Free,Public,,Mesquite Library,,,,,AZ,,,,,,85032,,,95117,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,4525 E Paradise Village Parkway North,,,,,https://blinkcharging.com,-111.983689,,,2025-03-19T00:15:24Z,
,2012-05-31,33.467302,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000053427'], 'posts': ['21b33196-ffaa-43d2-8b0d-321f6a4f665f']}",Blink Network,E,,,,,Free,Public,,Phoenix Theatre,,,,,AZ,,,,,,85004,,,95412,,Phoenix,GPS,,US,,,1,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,1625 N Central Ave,,,,,https://blinkcharging.com,-112.073412,,,2025-03-19T00:22:05Z,
,2012-01-15,33.87559856047207,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000055195'], 'posts': ['40ae7f20-b15a-e914-7b8a-0b3f5ab2f429', '4d7ad17b-6c0d-4bab-b487-61dbb95ae800']}",Blink Network,E,,,,,Free,Public,,Outlets at Anthem,,,,,AZ,,,,,,85086,,,95568,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,4250 West Anthem Way,,,,,https://blinkcharging.com,-112.1491985686012,,,2025-03-19T00:31:55Z,
